Paper_ID,Material,Substrate,Method,Gas_Mixture_Std,Power_W,Working_Pressure_Pa,Base_Pressure_Pa,Temperature_C,Thickness_nm
10.1002_admi.202201223,"Ti-Zr-Ge metallic glass thin-film (Ti62Zr13Ge25, Ti68Zr8Ge24, Ti75Zr4Ge21)","(100) Si substrates (B-doped, ρ = 1-20 Ω cm, 350 µm thick)",DC magnetron sputtering,Ar,"[140.0, 24.0, 20.0, 140.0, 40.0, 23.0, 140.0, 12.0, 17.0]",0.5,,25.0,"[465.0, 420.0]"
10.1002_admi.202201790,WO3,Silicon wafer,Magnetron sputtering,Ar,3.35,1.5,,50.0,3.0
10.1002_admt.202302007,W and WOx,Si (100) wafer,RF magnetron sputtering,Ar/O2,150.0,1.0,,,"[150.0, 75.0]"
10.1002_aenm.202203462,Vanadium nitride (VN),Silicon (Si) wafer,Magnetron sputtering,Ar/N2,1.85,,,25.0,76.0
10.1002_pssb.202100374,Zinc-Iridium Oxide (Zn-Ir-O),"soda-lime glass, Ti and polyimide",reactive DC magnetron co-sputtering,Ar/O2,,1.3332199999999998,,300.0,
10.1002_pssr.202100178,Zirconium nitride (ZrN),Si,RF sputtering,Ar,60.0,0.7999320000000001,1333.22,,40.0
10.1007_BF00133117,YBa2Cu3O7-x (YBCO),(1 0 0) SrTiO3,Thermal evaporation and glow discharge sputtering,Ar/O2,,"[466.627, 0.0066661]",,"[659.85, 399.85]","[200.0, 25.0]"
10.1007_BF00133122,Indium tin oxide (ITO),Corning 7059 glass,r.f. magnetron sputtering,Unknown,,,,,"[1240.0, 730.0, 200.0]"
10.1007_BF00225627,YBa2Cu3O7-x (YBCO),(001) MgO,d.c. magnetron sputtering,Ar/O2,,93.3,,500.0,
10.1007_BF00323614,YBa2Cu3O7-x,"MgO, SrTiO3, ZrO2, SiO2, Si",Ion-beam sputter deposition,Ar,,1333.22,1333.22,25.0,100.0
10.1007_BF00354430,YBCO (YBa2Cu3O7-x),LaAlO3,Inverted cylindrical magnetron sputtering,Ar/O2,,87.0,,840.0,250.0
10.1007_BF00354699,Cr-Si-O (chromium-silicon-oxide),Al2O3 with a 60 µm glaze layer composed mainly of SiO2 and PbO,Reactive sputtering,Ar/O2,,,7.000000000000001e-05,130.0,
10.1007_BF00357337,GdBa2Cu3OT_x (GBCO),yttrium-stabilized ZrO2 (YSZ) and LaAlO3 (LAO),d.c. magnetron sputtering,Unknown,,,,,"[100.0, 200.0, 250.0, 600.0, 650.0]"
10.1007_BF00361145,YBa2Cu3O7-x,"(100) and (110) SrTiO3, ZrO2, and LaAlO3",Direct-current (d.c.) magnetron sputtering,Unknown,,,,750.0,
10.1007_BF00361150,Titanium,Non-doped and BF2-implanted silicon wafers,Direct current (d.c.) magnetron sputtering,Unknown,,,,25.0,50.0
10.1007_BF00376293,Bismuth titanate (Bi4Ti3O12),,r.f. sputtering,Ar/O2,100.0,2.6664399999999997,0.00015998639999999998,552.0,
10.1007_BF00423395,PbZr0.52Ti0.48O3 (PZT),Pt/Ti/Si (single crystal silicon wafers),RF magnetron sputtering,Ar,120.0,0.4,,300.0,250.0
10.1007_BF00456565,YBa2Cu3O7-x (YBCO),LaAlO3(100),90° off-axis single target RF magnetron sputtering,Ar,150.0,1.33,0.000266,890.0,400.0
10.1007_BF00616303,Bi-Sr-Ca-Cu-O,(100) MgO,XeCl-excimer-laser sputtering,O2,,15.0,,800.0,
10.1007_BF00617467,BSCCO (2223 structure),MgO(100),Sequential multitarget sputtering,Ar/O2,,1.866508,,665.0,90.0
10.1007_BF00617854,"Y-Ba-Cu-O, Bi-Sr-Ca-Cu-O, La-Sr-Cu-O, Tl-Ba-Ca-Cu-O","SrTiO3, MgO, YSZ, Al2O3, Si, SiO2, ZrO2",Reactive laser sputtering,O2,,,,20.0,30.0
10.1007_BF00617930,Molybdenum oxide (Mo1-xOx),"Silicon wafers, carbon substrates, and thin cover glasses",RF reactive magnetron sputtering,Ar/O2,100.0,"[0.6666099999999999, 1.3332199999999998]",0.000133322,,100.0
10.1007_BF00618067,YBa2Cu3O7 (YBCO),LaAlO3 and NdGaO3,High oxygen pressure d.c. sputtering,O2,,,,,200.0
10.1007_BF00618134,"GdBa2Cu3O7, YBa2Cu3O7, YSZ","SrTiO3, MgO, R-plane sapphire",Inverted cylindrical magnetron (ICM) sputtering,Ar/O2,,79.99320000000002,,"[600.0, 950.0]",300.0
10.1007_BF00625265,YBa2Cu3O7-x,LaAlO3,Electron-beam coevaporation; Single-target in situ off-axis sputtering,O2,,,,680.0,
10.1007_BF00660952,Undoped indium oxide,Pyrex glasses,Ion-beam sputtering (IBS),Ar,,0.0133322,0.0026664400000000004,90.0,113.0
10.1007_BF00720026,ZnO,AISI type 304L stainless steel,RF reactive sputtering,Ar/O2,,,,380.0,
10.1007_BF00721655,"(Sr, Ca)CuO2/(Sr, Ca)RuO3 multilayer thin films",(100) SrTiO3 single crystals,Multitarget rf magnetron sputtering,Ar/O2,40.0,5.0,,600.0,
10.1007_BF00724590,Tl-Ba-Ca-Cu-O (TBCCO) and BaxSr1-xTiO3 (BST),LaAlO3 and ZrO2,"Off-axis RF sputtering, e-beam evaporation, and liquid phase process",Ar/O2,"[100.0, 110.0]",,,"[883.0, 700.0, 810.0, 840.0]",
10.1007_BF00726982,45FeO-20Fe2O3-35P2O5 amorphous film,Aluminium film,RF-sputtering,Ar,300.0,,,,
10.1007_BF00728298,Bi1.4(Pb)0.6Sr2Ca2Cu3Ox (BPSCCO),single-crystal MgO,High-pressure dc sputtering,Ar,,66.661,,,
10.1007_BF00728306,YBCO (YBa2Cu3O7-x),Silicon single-crystal (100) and SrTiO3 single-crystal,On-axis rf magnetron sputtering,Ar/O2,50.0,,,680.0,250.0
10.1007_BF00730398,Bi2Sr2CaCu2O8+δ,SrTiO3 and LaAlO3,dc sputtering,O2,,3.2,,820.0,
10.1007_BF00753877,"BSCCO (Bi2201, Bi2212, Bi2223)",MgO(100),Ion beam sputtering,Ar,,,,650.0,45.0
10.1007_BF00753884,BaCuO2(CO3)x,(100) SrTiO3 and (100) LaAlO3,rf-planar magnetron sputtering,Ar/O2,40.0,0.133322,,520.0,
10.1007_BF00921258,Pt-doped SnO2,Corning 7059 glass slides,RF magnetron sputtering,Ar/O2,50.0,1.0,2e-05,25.0,100.0
10.1007_BF01151507,YBCO,LaAlO3 [1 0 0],d.c. sputtering (inverted cylindrical magnetron),Unknown,,,,840.0,200.0
10.1007_BF01154021,SnOx (polycrystalline SnO2),"Sintered alumina, fused silica, pyrex glass, mullite, and magnesia",Ion-beam sputtering,Unknown,,,,500.0,700.0
10.1007_BF01756789,"Silver, Tin, Platinum, SnOx",,Ion-beam sputtering (IBS),Ar,,0.0133322,0.0013332200000000002,65.0,
10.1007_BF02088365,YBa2CuaOT-~ (YBCO),ZrO2 (zirconia),magnetron sputtering,Unknown,,,,-189.14999999999998,300.0
10.1007_BF02397044,Aluminium oxide (Al2O3),"Polycrystalline ferrite (Ni, Zn)Fe2O4",R.F. sputtering,Ar,,,,,900.0
10.1007_BF02399646,YBCO,SrTiO3,Sputtering or laser ablation,Unknown,,,,,30.0
10.1007_bf02708560,"(Sr, Ba) TiO3",,RF magnetron sputtering,Ar/O2,,2.933084,,,80.0
10.1007_bf02709091,Tin dioxide (SnO2),,Sputtering,Unknown,,,,,
10.1007_BF02710526,ZrO2,Si 0.8 Ge 0.2,Reactive RF magnetron sputtering,Ar/O2,50.0,13.3322,0.000133322,350.0,
10.1007_BF02711158,ZnO:Al (Aluminum-doped Zinc Oxide),Amorphous silica,Off-axis RF magnetron sputtering,Ar,,1.3332199999999998,,149.85000000000002,
10.1007_BF02711241,Copper oxide (CuO),Conductive glass,d.c. reactive sputtering,Ar/O2,,850.0,420.0,70.0,
10.1007_BF02720088,Tungsten oxide (WO3),Amorphous glass,"Ultrasonic spray pyrolysis (USP), Sputtering",Unknown,,,,250.0,10.0
10.1007_BF03026346,Fe-Al2O3-Co and Pt/Al2O3/Pt magnetic tunnel junctions,thermally oxidized (100) silicon wafers,rf magnetron sputtering (reactive sputtering for the oxide barrier),Ar/O2,,0.66661,,25.0,50.0
10.1007_BF03027041,Amorphous vanadium oxide (V2O5),(100) Si wafer with Pt current collectors,Direct current (d.c.) reactive sputtering,Ar/O2,250.0,0.6666099999999999,0.000799932,25.0,
10.1007_BF03027049,SrBi2Nb2O9 (SBN) and Al2O3,p-type (100) Si,rf magnetron sputtering,Ar/O2,,0.266644,0.0066661,500.0,"[220.0, 11.4, 200.0]"
10.1007_BF03027155,Ta2O5,Ta/Ti/Al2O3,RF reactive sputtering,Ar/O2,,1.3332199999999998,,,50.0
10.1007_BF03027192,ZnO,"Pt/Ti/SiO2/Si, W/SiO2/Si, and Ni/SiO2/Si",rf magnetron sputtering,Ar/O2,200.0,0.6666099999999999,0.00066661,25.0,
10.1007_BF03027269,Pt co-sputtered amorphous V2O5,Pt/Ti/Si,dc reactive magnetron sputtering,O2,"[370.0, 10.0]",0.6666099999999999,0.000266644,25.0,
10.1007_BF03027908,Gallium-doped zinc oxide (GZO),Corning glass 1737,RF magnetron sputtering,Ar,125.0,,,25.0,300.0
10.1007_BF03353765,ZnO,ITO-coated glass,Magnetron Sputtering,Ar,50.0,0.3,0.002,,15.0
10.1007_PL00020225,Indium oxide/tin oxide multilayered films,Optical-flat glass (Pyrex and fused quartz),Ion-beam sputtering (IBS),Ar,,0.0133322,,25.0,200.0
10.1007_s00170-017-0609-2,TiAlN/SiN,Borosilicate glass,DC magnetron sputtering,Ar/N2,,0.15,,,200.0
10.1007_s00226-020-01241-x,ZnO,Pinus sylvestris L. var. mongholica Litv veneer,Magnetron sputtering,Ar,100.0,1.1,0.0005,"[25.0, 200.0]",
10.1007_s00289-020-03271-8,"TiO2, ZnO",FTO-coated glass,R.f. magnetron sputtering,Ar,,,1333.22,"[25.0, 250.0]",40.0
10.1007_s00339-004-2593-2,Ta-doped Indium Oxide (InTaO),Corning glass # 1737,dc or rf magnetron sputtering,Ar/O2,,0.6666099999999999,0.000133322,25.0,
10.1007_s00339-004-3197-6,Zinc oxide (ZnO) and Al doped ZnO,Microscopic glass slides,dc and rf magnetron sputtering,Ar/O2,,,,,675.0
10.1007_s00339-005-3208-2,HfO2,indium-tin-oxide (ITO)-coated glass,Reactive rf sputtering deposition,Ar/O2,100.0,3.99966,,25.0,
10.1007_s00339-006-3484-5,Lanthanum aluminate (LaAlO3),p-type (10^15 cm^-3) Si(100) wafers,RF sputtering,Ar,"[175.0, 100.0]","[0.5, 5.0]",,,40.0
10.1007_s00339-006-3581-5,Aluminium-doped zinc oxide (ZnO:Al or AZO),Glass,Reactive mid-frequency (MF) magnetron sputtering,Ar/O2,3300.0,140.0,,25.0,
10.1007_s00339-006-3606-0,Silver-doped indium oxide,Glass and quartz,Reactive dc magnetron sputtering,Ar/O2,40.0,,0.00019999999999999998,26.850000000000023,
10.1007_s00339-006-3620-2,ZnO,SiO 2 /Si,reactive RF magnetron sputtering,Ar,100.0,0.6666099999999999,0.000266644,25.0,
10.1007_s00339-007-4036-3,ZnO,Silicon and corning glass,DC planar magnetron sputtering,O2,,1000.0,,25.0,1012.0
10.1007_s00339-007-4157-8,ZnO,Pt/Ti/SiNx/Si(100),RF magnetron sputtering (two-step method),Ar/O2,,,1333.22,25.0,
10.1007_s00339-007-4275-3,ZnO,SiO2/Si (400 µm thick Si(100) with 0.1 µm SiO2 overlayer),Reactive RF magnetron sputtering,Unknown,,,,,
10.1007_s00339-007-4289-x,ZnO-TiO2,n-type (100) Si and glass,Radio frequency magnetron reactive sputtering,Ar/O2,180.0,1.0,5e-05,300.0,131.0
10.1007_s00339-007-4338-5,ZnGa2O4:Mn2+,Quartz,RF magnetron sputtering,Ar,125.0,1.5,,25.0,
10.1007_s00339-008-4529-8,Mo-doped ZnO,glass,dc sputtering,Ar/O2,,1.8665079999999998,,200.0,200.0
10.1007_s00339-008-4682-0,TiO2 and TiO2-W-TiO2 multi-layer thin films,Glass,RF magnetron sputtering,Ar,,,,150.0,20.0
10.1007_s00339-008-4954-8,Titanium dioxide (TiO2),"Glass slides, silicon (100) wafers, and carbon coated copper TEM grids",DC reactive unbalanced magnetron sputtering,Ar/O2,,,0.0005,,29.4
10.1007_s00339-009-5086-5,Zinc Oxide (undoped and Gallium-doped),Glass and Polyethylene naphthalate (PEN),RF magnetron sputtering,Unknown,,,,25.0,70.0
10.1007_s00339-009-5234-y,Zinc oxide (ZnO),BK7 glass,DC reactive magnetron sputtering,Ar/O2,11.0,0.35000000000000003,0.0045000000000000005,25.0,
10.1007_s00339-009-5237-8,ZnO/Ag-Ti/ZnO (ZATZ),Glass (corning 1737F),Sol-gel technique (spin coating) and DC magnetron sputtering,Ar,10.0,1.3332199999999998,0.000266644,300.0,20.0
10.1007_s00339-009-5272-5,ZnO,silicon wafer,RF magnetron sputtering,Ar/O2,100.0,1.33322,0.000466627,500.0,0.3
10.1007_s00339-010-5595-2,Nd0.51Sr0.49MnO3,LaAlO3 (001),DC magnetron sputtering,Unknown,,,,,"[30.0, 100.0]"
10.1007_s00339-010-5805-y,Metallic tin (beta-Sn) nanoparticles embedded in SiO2 and amorphous silicon (a-Si) host materials,Quartz,RF magnetron sputtering,Unknown,,0.2,,"[50.0, 450.0, 700.0]","[25.0, 9.5, 13.5, 16.0]"
10.1007_s00339-010-5961-0,Titanium oxide (TiO2),(100) silicon (Si),Reactive DC magnetron sputtering,Unknown,,,,25.0,
10.1007_s00339-011-6496-8,VOx,Quartz,Pulsed DC magnetron reactive sputtering (PDC-MS),Ar/O2,,0.6666099999999999,2.66644e-07,25.0,50.0
10.1007_s00339-012-6890-x,ZnO-TiO2 composite thin films,Corning 7059 glass,r.f. sputtering,O2,5.0,1.3332199999999998,0.0013332200000000002,25.0,10.0
10.1007_s00339-012-6940-4,Yttrium oxide (Y2O3),p-type silicon (100) wafers,Reactive magnetron sputtering,Ar/O2,,1.0,10.0,300.0,
10.1007_s00339-012-7116-y,Vanadium oxide (V2O5),ITO/glass,RF magnetron sputtering,Ar/O2,130.0,1.3332199999999998,,550.0,280.0
10.1007_s00339-012-7205-y,Lithium cobalt oxide (LiCoO2),Stainless steel and (100)-silicon,RF magnetron sputtering,Ar,200.0,10.0,,500.0,
10.1007_s00339-012-7431-3,ITO-AZO bilayer thin films,Soda-lime glass substrates and p-type hydrogenated amorphous silicon films,RF magnetron sputtering,Ar,,,0.001,100.0,110.0
10.1007_s00339-013-7733-0,Hydrogen doped ZnO (ZnO:H),Quartz glass,RF magnetron sputtering,Ar/H2,250.0,1.0,0.0008,100.0,"[1167.0, 1059.0, 962.0, 915.0, 898.0]"
10.1007_s00339-014-8222-9,"AZO/Ag/AZO, ITO/Ag/ITO, ITO/Ag/AZO, AZO/Ag/ITO",Soda lime glass,RF magnetron sputtering,Ar,"[225.0, 175.0, 30.0]",1.0,,25.0,"[50.0, 10.0, 100.0]"
10.1007_s00339-014-8351-1,Titanium oxide,Silicon,Reactive DC magnetron sputtering,Ar/O2/N2,,0.8,,160.0,200.0
10.1007_s00339-014-8451-y,"Zn1-xCdxO (x = 0, 0.2)",Glass,Direct current (dc) reactive magnetron sputtering,Ar/O2,,5.0,0.0002,550.0,
10.1007_s00339-015-9051-1,Al-doped zinc oxide (AZO),Polyethylene terephthalate (PET),Radio frequency (RF) magnetron sputtering,Ar,25.0,,5.9e-06,25.0,150.0
10.1007_s00339-015-9209-x,ZnO/SnO2 composite thin films,Copper collectors,Electron beam evaporation and magnetron sputtering,Ar,,"[0.003, 0.7]",0.0005,"[25.0, 500.0]",
10.1007_s00339-015-9375-x,Al-doped ZnO (AZO),Glass,Radio frequency (RF) magnetron sputtering,Ar,100.0,3.0,,,880.0
10.1007_s00339-015-9479-3,Boron-doped ZnO (BZO),Normal soda lime glass,Pulsed DC magnetron sputtering,Ar,,0.8,0.003,200.0,
10.1007_s00339-015-9588-z,Copper oxide,Stainless steel,RF magnetron sputtering,Ar/O2,250.0,0.9400000000000001,,400.0,400.0
10.1007_s00339-016-0197-2,Hafnia (HfO2) and Niobia (Nb2O5),Fused silica,Plasma-assisted reactive magnetron sputtering,Unknown,,0.1,,,"[508.0, 515.0, 343.0]"
10.1007_s00339-016-0250-1,Aluminum-doped zinc oxide (AZO),Polyethylene terephthalate (PET) flexible plastic substrates,90°-off-axis radio-frequency (rf) magnetron sputtering,Ar,70.0,0.133322,0.0066661,25.0,100.0
10.1007_s00339-016-0262-x,Indium tin oxide (ITO),Glass,Radio frequency (RF) magnetron sputtering,Ar,"[75.0, 100.0]",23.331350000000004,1333.22,25.0,"[20.0, 50.0]"
10.1007_s00339-016-0392-1,Si-doped ZnO (SZO),Glass substrate,DC/RF magnetron sputtering,Unknown,,,,,
10.1007_s00339-016-0427-7,i-ZnO/AZO/Ag(In):AZO,Soda Lime Glass (SLG),Direct current (DC) magnetron sputtering and vacuum thermal evaporation,Ar,"[100.0, 108.0]",0.8,"[0.0006500000000000001, 3.0]","[25.0, 350.0]","[50.0, 550.0]"
10.1007_s00339-016-0569-7,HfO2,p-type Si (100),RF sputtering,Ar/O2,60.0,0.03,0.00066661,25.0,17.0
10.1007_s00339-016-9624-7,Zirconium oxynitride (ZrOxNy),Silicon (100),RF-reactive magnetron sputtering,Ar/O2/N2,170.0,0.0030000000000000005,,800.0,10.0
10.1007_s00339-016-9806-3,Zinc oxide (ZnO),Glass,DC reactive magnetron sputtering,Ar/O2,,,0.0006000000000000001,,150.0
10.1007_s00339-016-9943-8,Titanium dioxide (TiO2),Soda-lime glass,Radio-frequency magnetron sputtering,Other,,,,25.0,100.0
10.1007_s00339-017-0779-7,VO2,Si (111),RF magnetron sputtering,Ar/O2,80.0,1.0,0.00058,580.0,243.0
10.1007_s00339-017-0818-4,Er2O3,Indium tin oxide (ITO) coated glass,Radio frequency (RF) sputter,Unknown,,,,25.0,800.0
10.1007_s00339-017-0847-z,B-doped ZnO (Zn1-xBxO),Normal soda-lime glass,Pulsed DC magnetron sputtering,Unknown,,,0.003,400.0,230.0
10.1007_s00339-017-0909-2,Zinc oxide (ZnO),Sapphire,RF magnetron sputtering,Ar,180.0,0.39996600000000004,,300.0,350.78
10.1007_s00339-017-1512-2,Cerium oxide (CeO2-x),Pt/Ti/SiO2/Si,RF magnetron sputtering,Ar/O2,100.0,1.3332199999999998,,25.0,
10.1007_s00339-018-1565-x,Nitrogen-doped ZnO (ZnO:N),Quartz,Radio frequency magnetron sputtering,Ar/N2,120.0,1.0,0.0008,,650.0
10.1007_s00339-018-1600-y,Al-doped zinc oxide,Borofloat 33,RF magnetron sputtering,Ar,150.0,0.3,,325.0,180.0
10.1007_s00339-018-1666-6,Cu4O3 (paramelaconite),"Soda lime glass, Borosilicate glass",Reactive DC magnetron sputtering,Ar/O2,1.4,0.35000000000000003,0.0008599999999999999,26.850000000000023,
10.1007_s00339-018-1770-7,Zn-modified TiO2 (ZnTi3O8 and ZnTiO3),Silicon and glass,Hybrid Laser Ablation and Magnetron Sputtering (MSPLD),Ar,20.0,0.39996600000000004,0.00066661,,263.0
10.1007_s00339-018-1830-z,Al decorated ZnO thin films,FTO glasses,dc magnetron-sputtering and thermal evaporation,Ar/O2,15.0,0.3,,25.0,100.0
10.1007_s00339-018-1852-6,"Mg-doped ZnO (0, 3, 10, and 20 mol% Mg)",Si (100),RF magnetron sputtering,Unknown,,,,,
10.1007_s00339-018-1883-z,ZnO:B,Corning 1737 glass,RF magnetron sputtering,Ar,180.0,0.8399286,0.000533288,400.0,400.0
10.1007_s00339-018-1997-3,Cu-doped ZnO (CZO),Coring 1737 glass substrates,Radio frequency (RF) magnetron sputtering,Unknown,100.0,0.666,0.000666,200.0,200.0
10.1007_s00339-018-2043-1,ZnO:Al and ZnO:Ga,glass substrate,RF magnetron sputtering,Ar,100.0,1000.0,0.00056,25.0,90.0
10.1007_s00339-018-2141-0,"Copper oxide (Cu2O, Cu4O3, and CuO)",Glass and silicon (100),DC reactive magnetron sputtering,Ar/O2,,0.7,10.0,,
10.1007_s00339-018-2216-y,Bi 0.9 Ba 0.1 (Fe 0.9 Ti 0.1 )O 3 (BBFT),Indium tin oxide (ITO)/glass,RF sputtering,Ar,50.0,1.8000000000000003,,35.0,"[157.0, 132.0]"
10.1007_s00339-018-2276-z,Hydrogenated gallium-doped zinc oxide (HGZO),Polyethylene terephthalate (PET),RF magnetron sputtering,Ar/H2,90.0,,0.0005,25.0,200.0
10.1007_s00339-019-2544-6,ZnO and Ti-doped ZnO (TZO),Silicon,Magnetron co-sputtering (RF and DC),Ar,"[80.0, 50.0, 80.0]",2.66644,0.000399966,20.0,120.0
10.1007_s00339-019-2769-4,NiO,FTO conductive glass,Magnetron sputtering,Unknown,90.0,,,"[20.0, 150.0, 300.0]","[24.0, 28.0]"
10.1007_s00339-019-2886-0,Pure and Co-doped ZnO (4% and 7% Co),Silicon (Si-001) and Corning glass,RF magnetron sputtering,Ar/O2,400.0,0.6,,,600.0
10.1007_s00339-019-3070-2,Aluminum zinc oxide (AZO),Si(100) and glass slides,DC reactive magnetron sputtering,Ar/O2,,0.75,10.0,,
10.1007_s00339-019-3111-x,yttrium-doped ZnO (YZO),glass,radio-frequency (rf) magnetron sputtering,Ar,40.0,3.99966,0.0006132811999999999,200.0,
10.1007_s00339-020-03690-4,YBa2Cu3O7-δ (YBCO) and YBCO:LaAlO3,SrTiO3 (STO) (001),Pulsed Laser Deposition (PLD) and Magnetron Sputtering,Ar/O2,25.0,15.0,0.0001,,100.0
10.1007_s00339-020-03835-5,Aluminum-doped zinc oxide (AZO),Glass,Dual-target magnetron sputtering (RF for ZnO and DC for Al),Ar,"[125.0, 100.0]",0.39996600000000004,0.000799932,25.0,
10.1007_s00339-020-04021-3,aluminum zinc oxide (AZO),glass,magnetron co-sputtering,Unknown,"[100.0, 100.0]",,0.0133322,,339.0
10.1007_s00339-020-04046-8,ZnO,p-Si substrate,"Electron beam evaporation, Pulsed Laser Deposition (PLD), and RF Sputtering",Unknown,,,,25.0,"[280.0, 440.0, 330.0]"
